CODE_CORRESPONDANCE;Correspondance;Acte Externe;Acte RC;Libellé Acte;DMT;DMT;Domaine Court Séjour;Libellé DCS;Base de Remboursement;Spécialité;Libellé Spécialité;Mode de traitement;Libellé Mode de traitement;Nature d'assurance;Libellé Nature d'assurance;DEBUT_EFFET;FIN_EFFET;DATE_CREATION;DATE_MAJ;CODE_CAT_PROF_SANTE;CAT_PROF_SANTE;CODE_GARANTIE_ELEMENTAIRE;GARANTIE_ELEMENTAIRE;TYPE_SECTEUR_CONVENTIONNE;CATEGORIE_DENT;AUTEUR_CREATION;AUTEUR_MAJ
CORR01;NOEMIE AS et TP;300;9PHN;Pharmacie non remboursable;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;300;9PHN;Pharmacie non remboursable;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;301;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;301;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;302;PH2;Pharmacie 15%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;302;PH2;Pharmacie 15%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;303;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;303;PH7;Pharmacie 65%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;304;PH4;Pharmacie 30%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;304;PH4;Pharmacie 30%;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
CORR01;NOEMIE AS et TP;305;9PHN;Pharmacie non remboursable;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2015-04-09 00:00:00.000;2015-04-09 00:00:00.000;;;;;2;;49DABUSE;49DABUSE
CORR02;Autres AS et TP;305;9PHN;Pharmacie non remboursable;;;;;;;;;;;;1900-01-01 00:00:00.000;9999-12-31 00:00:00.000;2016-06-22 00:00:00.000;2016-06-22 00:00:00.000;;;;;2;;44CHESAD;44CHESAD
